,reviews,ratings
1,I really like these. Just need more of them in the packet.,4
2,"somehow the feel too sharp. I always end up getting nicks with this brand of blades,",2
3,The color is not as good or bold as I had expected.  It definitely is a matte lipstikc however.,3
4,"It does help to clear the skin, I've been using it for somet6ime and have recommended to friends and family.",4
5,"Good scissors, but zipper on case came broken.  Can't close case all the way.",4
6,This product is exactly what I wanted. It was report a replacement of another one just like it,5
7,Roomy and exactly as described. What a good deal! I will be buying another for my friend! Thanks for everything!,4
8,Don't waste your money. Plastic sheet that magnetized poorly together around your jar. It sags and looks like crap.,1
9,"Stones were all mixed up  and was headache to try to get ALL separate by the colors, but still a great buy",4
10,"Best night cream ever, a little goes a long way.",5
11,Very good flosser.  It's our second one! o,4
12,"likes: nice look & it's stylish
dislikes: the bowls diameter the much larger than the size of any shaving soap I've found",4
13,I hate it so much and sucks that I can't return save your money! It's super small as well,1
14,"Don't work, hair soaken wet.  Die from cap mixed in with my sweat.  Could not understand why my white towel was turning blue.",1
15,It smelled decent! The plain kind I would suggest for a man! I got both! But i gave the fruity one away!,4
16,I don't like smell but it such a good shampoo ever,4
17,I buy these in bulk. the only kind I use! the suction cup for my shower is wonderful!,5
18,well worth the money. my daughter loves this set its small and easy to carry on trips. neat little pouch to boot!,3
19,the under arm shields were a disaster.  they stuck to the silk blouse but one of them fell off.  did not work at all .,1
20,I love these gloves. They are much better than the other brand I had on subscribe & save.,5
21,Original had major problems with power switch new version is 5 stars.,2
22,"Beautiful! Slow shipping, but worth the wait. I love that they provided extra stones and glue in case one falls out.",4
23,Good size.  High temp mode is good. Low temp mode is awful. Very loud noise. Good price point.,3
24,Been using it for a month now. Seen only 1/3 inch growth so far. Works but really slowly,3
25,"I purchased this comb as a gift, it is much smaller in the real life",3
26,Works as well for me as Estee Lauder or Lancome & costs considerably less.,4
27,"The earring I received are cute, but very small and NOT the same ones shown in the picture.  Completely DIFFERENT!",2
28,The blades are fine. Razor is a little cumbersome although very competitively priced when compared to the Excel cartridges. This way I have extras.,4
29,This works well for my couple of disgusting toenails... when nothing else seems to work...,5
30,"Excellent product, arrived quickly. My son the Crew line for his hair. Great deal!",5
31,My son bought it and it turned his hair bright yellow not green,1
32,"I miss the original glide. I do not need so much mint flavor, it was overpowering.",3
33,They look kind of cheap but they look very nice. It worth the money that I paid and they will last long enough.,3
34,"I received 1 Tool, for those wondering about the quantity.",1
35,I did not care for these gloves. They are not as soft as others I use.,2
36,I got this for my brother and he loved this necklace at first glance. And it was beautiful but he wished the chain was a bit longer,4
37,Messy to work with and did not remove hair completely.  Heading back to salon in future,3
38,Doesn't work at all . I had them for just 5 minutes. It will not work with sweating.  Not worth it,1
39,They were okay I don't recommend them though they broke easily.,2
40,Have purchased this replacement head before and they work great.  New blades always give a better shave.  Will do it again.,4
41,Excellent. Got rave reviews at Disneyland for costume event.,5
42,Helps nails dry much faster...the only reason I didn't give it full stars is it is a little messy the greasy stuff gets everywhere.,4
43,"Package came on time.  Instructiions are good, and the product performs as advertised.  A dental hygienist recommended the Water Pik.",5
44,Reminds me of Vaseline. I don't see what it's doing to help anything.,3
45,The  holding latch cover on and off volume control.  It slips off constantly. i would not recommend. They didn't consider compotent t design,2
46,Not a fan...doesn't stay with you and only makes you feel oily where you apply it.,2
47,good razor.  very good for the low cost.  much cheaper than walmart. i ii i i i i i i,4
48,Great product!  This is a wonderful addition to any dopp kit to keep your face lettuce looking sharp.,5
49,Love the sent. Wish the fragrance lasted longer after the shower was over.,4
50,It seems a little fragile.  Not sure how long it will last.,3
51,This soap was wonderfully received.. The scent was delightful and I would not hesitate to purchase again. Thank you and I look forward to future purchases.,5
52,good color but very drying and the chemical odor will knock you over,2
53,The bars inbetween the jewls are too thin but you can take the jewls off and but them on a different bar,4
54,Have been using this product for a while. everything looks good except the using time is a little bit short after a full charge.,4
55,"Provides fair amount of coverage, doesn't leave a white rings, blends nicely.  Won't cover up all blemishes, but adequate for under-eye concealer.",4
56,"Not certain yet if it is really helping, but certainly not hurting me.",5
57,Replaced a similar Waterpik that I had for many years.  My advice is that eveyone should add this to their tools to make your teeth clean.,4
58,I have been using this powder for some years and still love it especially in this climate.  Barbados,5
59,"Don't buy from this Product, false price advertisement and cheap crap!!",1
60,This product was OK. Application is easy. It doesn't last very long for warm days. It would look cakey on some areas.,3
61,The bottle was made very cheaply. It broke within the first couple of times using it,2
62,"The product makes my lips quite dry. Also my packaging is not black but white which ,Ames me wonder if this is even what I received.",2
63,LOVE IT!! Very easy to use and clean. Looks pretty to! :),5
64,Sharpest blades I've ever used. Don't cut your skin either! Will definitely get more,5
65,"The product does moisturize my hair, but I'm not crazy about the smell.",3
66,Normally don't have an issue but this is what I received. Its completely smashed in on the side,3
67,Have not seen any change since I have been using.,1
68,So-far some really good stuff! I love the ingredients.,4
69,This only put out a small mist. This my second one. Will definitely not waste my money anymore on this brand.,1
70,The unit was for my wife and she says it does a good job and she is VERY satisfied with the product.,4
71,Don't preform as advertised. Will be requesting an exchange,1
72,I could not find this product in the stores!  I like the soothing results on my face when using it.,4
73,The end doesn't stay in place allowing the plastic bristles to slide out.,3
74,This came already used. It already has makeup on it. Will be returning asap.,1
75,Switched from paste. Good for shorter hair but probably not strong enough for medium length hair.,4
76,"Worked great, I'll buy it again for sure.",5
77,"after receiving the item damaged, the company was able to replace the part, so far it appears to work well",3
78,waiting on the plastic so they can work their magic together,4
79,This has stained all my sheets!!! We couldn't figure out what it was until the last mark became obvious (same shape!),1
80,"Gel works fine for controlling odor.

The scent has a apple smell to it.

4 ounces is a good size.",3
81,"The fragrance was alright, not like the other plain Nag Champas, but I won't order those again.",3
82,Mine are all the same size but I wanted the different sizes.,1
83,This product wasn't terribly vibrant. But Ive never had much luck with green dyes.,3
84,It feels relaxing on my face and I love the smell of it. It's like Noxzema but with better ingredients.,5
85,It is o.k. but I expected it to work better with curly hair.,3
86,I really like this product. It does what a tooth brush and dental floss cannot. Great addition to anyones oral hygiene routine.,4
87,"Was worth more than I paid, but materials still a little cheap. Still worth more than paid and looks super cute. Looks like picture on.",4
88,Good. But the flap covering the toe hang out too much. Does not stay in place.,3
89,I was happy with the product until recently but it doesn't charge any more after less than 1 year of occasional use...,1
90,Son came back from Costa Rica without a sunburn so it must have worked,4
91,After swimming it helped after I took a shower and put lotion on and no itching like I had before.,4
92,My husband uses it with a waist band to exercise and it makes that area sweat buckets. Very good and useful.,5
93,it didn't work but ive only used 1 patch so im going to try it again.....i found better results with the party smart pills,2
94,"Good, but not quite like I remember from mid 1960's.",4
95,I bought this for my dive mask and it works well,4
96,make sure you have the proper razor for this product  you need one with a reservoir  it was not disclosed on advertisment and now i own this stuff,1
